objectid,wd18cd,wd18nm,wd18nmw,bng_e,bng_n,long,lat,st_areashape,st_lengthshape
7457,S13002526,Helensburgh and Lomond South, ,233581,681953,-4.67029,56.001549,53909105.8069693,46465.8614347445
7458,S13002545,Strathmartine, ,338092,733576,-3.00698,56.49017,10883756.1073664,16727.2891755723
7459,S13002546,Lochee, ,335581,731747,-3.0473,56.473412,10505289.1399228,17657.2086380284
7460,S13002547,West End, ,337495,730221,-3.01587,56.459961,7349524.58163907,13966.0787940079
7461,S13002548,Coldside, ,339452,731714,-2.98447,56.473629,4059105.93561999,7658.78526905108
7462,S13002549,Maryfield, ,340999,731348,-2.95928,56.470531,3828516.638436,9149.64362954123
7463,S13002551,East End, ,343570,731934,-2.91768,56.476109,5118128.39451434,11535.9009452431
7464,S13002552,The Ferry, ,346305,732302,-2.87336,56.47974,10238519.0544945,14982.9360753714
7465,S13002600,"Barraigh, Bhatarsaigh, Eirisgeigh agus Uibhist a Deas", ,79135,837754,-7.33197,57.317039,406893955.360559,418037.147907199
7466,S13002601,Beinn na Foghla agus Uibhist a Tuath, ,80026,870891,-7.36059,57.614029,440502027.499509,655941.084800287
7467,S13002602,Na Hearadh agus Ceann a Deas nan Loch, ,110024,895382,-6.88993,57.853489,807632285.746617,569524.071331488
7468,S13002603,Sgir'Uige agus Ceann a Tuath nan Loch, ,127716,929050,-6.63169,58.166031,735020020.572404,380468.780838132
7469,S13002604,Sgire an Rubha, ,153091,933605,-6.20644,58.221748,38602679.4575984,43234.5163912086
7470,S13002605,Steòrnabhagh a Deas, ,144237,932102,-6.35507,58.203239,7625286.57908105,17434.9958201878
7471,S13002606,Steòrnabhagh a Tuath, ,142257,935226,-6.39212,58.230061,12008148.0569655,22065.9192390006
7472,S13002607,Loch a Tuath, ,143558,940357,-6.37571,58.276772,208259393.296702,93280.4005800137
7473,S13002608,An Taobh Siar agus Nis, ,143529,950780,-6.38777,58.37009,417470546.333852,129674.258504434
7474,S13002732,Kirkwall East, ,346940,1011097,-2.92484,58.983688,11873125.8873032,21948.1581189029
7475,S13002733,Kirkwall West and Orphir, ,338593,1008739,-3.06937,58.961399,73671311.8638762,57716.8331771481
7476,S13002734,Stromness and South Isles, ,326049,995677,-3.28305,58.84214,191875760.067684,157142.861680462
7477,S13002735,West Mainland, ,332169,1018120,-3.18393,59.044659,305393852.709933,111701.65973142
7478,S13002736,"East Mainland, South Ronaldsay and Burray", ,349931,1005352,-2.87151,58.932468,158104152.033197,178427.247062578
7479,S13002737,North Isles, ,366833,1040361,-2.58323,59.248489,270434598.448136,433714.414319034
7480,S13002761,Tweeddale West, ,316539,640591,-3.32786,55.651649,702715610.164206,172361.008431978
7481,S13002762,Tweeddale East, ,334940,638390,-3.03499,55.634689,274681384.074195,110557.232827868
7482,S13002763,Galashiels and District, ,341795,649139,-2.92841,55.732128,211621325.343221,93680.4279918931
7483,S13002764,Selkirkshire, ,332302,619962,-3.07236,55.468781,676447702.853031,161330.03321756
7484,S13002765,Leaderdale and Melrose, ,354551,646132,-2.7248,55.706478,359078461.420927,115160.857706192
7485,S13002766,Mid Berwickshire, ,374099,654162,-2.41451,55.780071,621726728.524899,154451.104591845
7486,S13002767,East Berwickshire, ,385862,659613,-2.22726,55.82954,296095026.832706,98973.2575868472
7487,S13002768,Kelso and District, ,375778,626754,-2.38532,55.533901,342549510.870366,117085.540875557
7488,S13002769,Jedburgh and District, ,367426,620402,-2.51689,55.476341,385717646.042842,124913.164877912
7489,S13002770,Hawick and Denholm, ,357620,612952,-2.67087,55.408649,240785559.523432,90834.1716944613
7490,S13002771,Hawick and Hermitage, ,346854,597859,-2.83801,55.271999,629807872.616344,151267.536175975
